Eddard,Stark,Ned@westeros.net,Research & Development,154
Benjen,Stark,ColdHands@westeros.net,Auditing,645
Catelyn,Stark,Mother@westeros.net,Human Resources,393
Arya,Stark,A_Girl@westeros.net,Research & Development,142
Robb,Stark,YoungWolf@westeros.net,Research & Development,145
Sansa,Stark,LittleDove@westeros.net,Research & Development,183
Bran,Stark,TheRaven@westeros.net,Research & Development,137
Rickon,Stark,Shaggydog@westeros.net,Research & Development,131
Jon,Snow,TheGhostBrother@westeros.net,Auditing,680
Tyrion,Lannister,TheImp@westeros.net,Accounting,487
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,414
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,428
Robert,Baratheon,TheUsurper@westeros.net,Sales,530
Stannis,Baratheon,ThePromised@westeros.net,Sales,597
Renly,Baratheon,SummerKing@westeros.net,Sales,547
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,223
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,240
