Eddard,Stark,Ned@westeros.net,Research & Development,154,100
Benjen,Stark,ColdHands@westeros.net,Auditing,645,101
Catelyn,Stark,Mother@westeros.net,Human Resources,393,102
Arya,Stark,A_Girl@westeros.net,Research & Development,142,103
Robb,Stark,YoungWolf@westeros.net,Research & Development,145,104
Sansa,Stark,LittleDove@westeros.net,Research & Development,183,105
Bran,Stark,TheRaven@westeros.net,Research & Development,137,106
Rickon,Stark,Shaggydog@westeros.net,Research & Development,131,107
Jon,Snow,TheGhostBrother@westeros.net,Auditing,680,108
Tyrion,Lannister,TheImp@westeros.net,Accounting,487,109
Jaime,Lannister,TheGoldenHand@westeros.net,Accounting,414,110
Cersei,Lannister,TheLionQueen@westeros.net,Accounting,428,111
Robert,Baratheon,TheUsurper@westeros.net,Sales,530,112
Stannis,Baratheon,ThePromised@westeros.net,Sales,597,113
Renly,Baratheon,SummerKing@westeros.net,Sales,547,114
Daenerys,Targaryen,MotherOfDragons@westeros.net,Marketing,223,115
Viserys,Targaryen,GoldenKing@westeros.net,Marketing,240,116
